Species,Chromosome,Gene,CoordinateStart,CoordinateEnd
Doryteuthis,Dpe40,Dopeav2124692m,34532478,34617871
Doryteuthis,Dpe15,Dopeav2051924m,19718027,19718779
Doryteuthis,Dpe05,Dopeav2019411m,129271714,129364222
Doryteuthis,Dpe28,Dopeav2093734m,36572014,36617923
Doryteuthis,Dpe15,Dopeav2055800m,110850847,110859422
Doryteuthis,Dpe21,Dopeav2074517m,91067640,91083165
Doryteuthis,Dpe43,Dopeav2130729m,21650142,21650351
Doryteuthis,Dpe17,Dopeav2060586m,38658580,38739436
Doryteuthis,Dpe03,Dopeav2009323m,36693016,36693291
Doryteuthis,Dpe45,Dopeav2134115m,14986634,15148787
Doryteuthis,Dpe32,Dopeav2106301m,75895313,75895501
Doryteuthis,Dpe20,Dopeav2069753m,34230944,34317401
Doryteuthis,Dpe24,Dopeav2083362m,89023071,89043292
Doryteuthis,scDpe0284,Dopeav2137758m,48471,48953
Doryteuthis,Dpe16,Dopeav2057591m,48407751,48408245
Doryteuthis,Dpe17,Dopeav2061754m,75544036,75615237
Doryteuthis,Dpe29,Dopeav2096094m,17295591,17387191
Doryteuthis,Dpe17,Dopeav2060373m,31767452,31812430
Doryteuthis,Dpe18,Dopeav2063703m,30660841,30661044
Doryteuthis,Dpe35,Dopeav2114060m,58811466,58872535
Doryteuthis,Dpe23,Dopeav2079815m,72193951,72202464
Doryteuthis,Dpe37,Dopeav2118528m,40987924,40997903
Doryteuthis,Dpe29,Dopeav2095757m,6592337,6601821
Doryteuthis,Dpe42,Dopeav2128244m,6236279,6377498
Doryteuthis,Dpe30,Dopeav2098996m,16744542,16745830
Doryteuthis,Dpe32,Dopeav2105426m,48095105,48095975
Doryteuthis,Dpe26,Dopeav2087503m,25063478,25078320
Doryteuthis,Dpe01,Dopeav2001294m,48925325,48925597
Doryteuthis,Dpe17,Dopeav2062740m,109177552,109214573
Doryteuthis,Dpe13,Dopeav2047606m,98168914,98195777
Doryteuthis,Dpe11,Dopeav2040222m,96072280,96095639
Doryteuthis,Dpe41,Dopeav2127661m,51749222,51750611
Doryteuthis,Dpe39,Dopeav2121434m,5789638,5805658
Doryteuthis,Dpe15,Dopeav2055985m,115225306,115268775
Doryteuthis,Dpe26,Dopeav2089153m,82154070,82160017
Doryteuthis,Dpe34,Dopeav2111497m,60180761,60181364
Doryteuthis,Dpe11,Dopeav2040392m,101891978,102045485
Doryteuthis,Dpe13,Dopeav2047718m,105035288,105036702
Doryteuthis,scDpe0107,Dopeav2136613m,237475,239521
Doryteuthis,Dpe17,Dopeav2060620m,39865572,39918421
Doryteuthis,Dpe23,Dopeav2079060m,47759950,47771516
Doryteuthis,Dpe28,Dopeav2095284m,79483682,79519096
Doryteuthis,Dpe20,Dopeav2070927m,74105441,74106344
Doryteuthis,Dpe06,Dopeav2019910m,11298,12792
Doryteuthis,Dpe02,Dopeav2006826m,94672685,94818562
Doryteuthis,Dpe02,Dopeav2005385m,49724495,49724725
Doryteuthis,Dpe39,Dopeav2122470m,33732635,33935238
Doryteuthis,Dpe11,Dopeav2040884m,116968121,116976922
Doryteuthis,Dpe09,Dopeav2031221m,26261384,26327209
Doryteuthis,Dpe15,Dopeav2054562m,85112995,85113542
Doryteuthis,Dpe22,Dopeav2075602m,23150487,23151203
Doryteuthis,Dpe02,Dopeav2006627m,87294367,87310883
Doryteuthis,Dpe06,Dopeav2019966m,2762138,2763868
Doryteuthis,Dpe20,Dopeav2068745m,133442,152398
Doryteuthis,Dpe32,Dopeav2105729m,57007866,57008579
Doryteuthis,Dpe44,Dopeav2132649m,26588419,26622501
Doryteuthis,Dpe33,Dopeav2107695m,27435794,27514336
Doryteuthis,Dpe27,Dopeav2090381m,26436050,26469384
Doryteuthis,Dpe24,Dopeav2083103m,80271690,80272909
Doryteuthis,Dpe37,Dopeav2118696m,47321412,47377940
Doryteuthis,Dpe37,Dopeav2118897m,53851230,53852076
Doryteuthis,Dpe18,Dopeav2064945m,66446656,66658045
Doryteuthis,Dpe24,Dopeav2082140m,46339260,46481132
Doryteuthis,Dpe08,Dopeav2028334m,50467364,50483179
Doryteuthis,Dpe05,Dopeav2019117m,118213910,118243843
Doryteuthis,Dpe06,Dopeav2020078m,8132486,8134567
Doryteuthis,Dpe12,Dopeav2042822m,54823309,55059285
Doryteuthis,Dpe09,Dopeav2033592m,116458098,116458469
Doryteuthis,Dpe06,Dopeav2022362m,90169284,90247049
Doryteuthis,Dpe20,Dopeav2071369m,90016066,90067924
Doryteuthis,Dpe17,Dopeav2062353m,94473831,94499741
Doryteuthis,Dpe18,Dopeav2064699m,60242145,60260139
Doryteuthis,Dpe07,Dopeav2024479m,35351236,35353795
Doryteuthis,Dpe20,Dopeav2071273m,86682038,86720207
Doryteuthis,Dpe15,Dopeav2054675m,87311784,87754730
Doryteuthis,Dpe32,Dopeav2106296m,75776107,75776943
Doryteuthis,Dpe34,Dopeav2110621m,34276313,34290670
Doryteuthis,Dpe05,Dopeav2018397m,90844871,90876664
Doryteuthis,Dpe39,Dopeav2121214m,242977,243812
Doryteuthis,Dpe24,Dopeav2081115m,14074570,14075736
Doryteuthis,Dpe01,Dopeav2000002m,97551,319936
Doryteuthis,Dpe04,Dopeav2014972m,103743413,103870634
Doryteuthis,Dpe17,Dopeav2060730m,42363083,42363532
Doryteuthis,Dpe09,Dopeav2030925m,18567820,18576668
Doryteuthis,Dpe41,Dopeav2127947m,58341703,58347261
Doryteuthis,Dpe36,Dopeav2115694m,35154028,35254045
Doryteuthis,Dpe04,Dopeav2012691m,22000365,22200141
Doryteuthis,Dpe42,Dopeav2128123m,2955194,3014912
Doryteuthis,Dpe01,Dopeav2003097m,117987033,117991805
Doryteuthis,Dpe11,Dopeav2039399m,73556070,73556453
Doryteuthis,Dpe23,Dopeav2079445m,59696311,59791076
Doryteuthis,Dpe29,Dopeav2096663m,37475016,37475551
Doryteuthis,Dpe16,Dopeav2058492m,77913603,77936036
Doryteuthis,Dpe09,Dopeav2033184m,100394834,100395187
Doryteuthis,Dpe03,Dopeav2009830m,58515325,58749769
Doryteuthis,Dpe42,Dopeav2128674m,18296762,18435450
Doryteuthis,Dpe02,Dopeav2005379m,49432924,49433918
Doryteuthis,Dpe35,Dopeav2112563m,13755451,13910024
Doryteuthis,Dpe25,Dopeav2085231m,47519882,47848579
Doryteuthis,Dpe27,Dopeav2091714m,62205964,62207361
Doryteuthis,Dpe25,Dopeav2085218m,47519882,47848592
Doryteuthis,Dpe05,Dopeav2018284m,86711090,86711302
Doryteuthis,Dpe22,Dopeav2076328m,45203675,45243563
Doryteuthis,Dpe15,Dopeav2055979m,114969014,114972536
Doryteuthis,Dpe30,Dopeav2100869m,78396933,78406772
Doryteuthis,Dpe44,Dopeav2132859m,31329957,31330772
Doryteuthis,Dpe01,Dopeav2002186m,83431240,83811371
Doryteuthis,Dpe04,Dopeav2013580m,58399797,58400750
Doryteuthis,Dpe15,Dopeav2054052m,73788123,73796486
Doryteuthis,Dpe29,Dopeav2097386m,55870136,56119688
Doryteuthis,Dpe36,Dopeav2116225m,51266207,51298094
Doryteuthis,Dpe45,Dopeav2134051m,13803326,13814592
Doryteuthis,Dpe11,Dopeav2037880m,19954164,20001215
Doryteuthis,Dpe15,Dopeav2052101m,23046396,23049179
Doryteuthis,Dpe33,Dopeav2108735m,57484034,57512829
Doryteuthis,Dpe40,Dopeav2124301m,22985292,23091695
Doryteuthis,Dpe05,Dopeav2018822m,108552491,108631436
Doryteuthis,Dpe30,Dopeav2098682m,8904765,8917594
Doryteuthis,Dpe06,Dopeav2023344m,124100497,124191474
Doryteuthis,Dpe44,Dopeav2132102m,10074029,10099031
Doryteuthis,Dpe18,Dopeav2064164m,44981775,45036819
Doryteuthis,Dpe32,Dopeav2104935m,32716748,32728843
Doryteuthis,Dpe36,Dopeav2116395m,57121529,57172585
Doryteuthis,Dpe09,Dopeav2033406m,109916369,109990227
Doryteuthis,Dpe03,Dopeav2011082m,110359723,110440352
Doryteuthis,Dpe44,Dopeav2133527m,48714946,48715554
Doryteuthis,Dpe17,Dopeav2059348m,33196,47887
Doryteuthis,Dpe18,Dopeav2063735m,32701302,32720651
Doryteuthis,Dpe26,Dopeav2087535m,25619940,25628813
Doryteuthis,Dpe33,Dopeav2108625m,53376556,53441696
Doryteuthis,Dpe37,Dopeav2118322m,35402384,35513500
Doryteuthis,Dpe20,Dopeav2071002m,77886371,78051765
Doryteuthis,Dpe06,Dopeav2022781m,105874991,105928558
Doryteuthis,Dpe15,Dopeav2055504m,104707712,104719531
Doryteuthis,Dpe06,Dopeav2022009m,79841752,79842744
Doryteuthis,Dpe19,Dopeav2067939m,65467517,65468160
Doryteuthis,Dpe28,Dopeav2094356m,56025606,56026493
Doryteuthis,Dpe21,Dopeav2073125m,45680512,45707068
Doryteuthis,Dpe29,Dopeav2095772m,7331470,7334711
Doryteuthis,Dpe43,Dopeav2130259m,8620996,8627067
Doryteuthis,Dpe41,Dopeav2126571m,23403140,23403370
Doryteuthis,Dpe29,Dopeav2098059m,77619865,77620223
Doryteuthis,Dpe20,Dopeav2069223m,18978135,18978938
Doryteuthis,Dpe30,Dopeav2100740m,71841714,71950857
Doryteuthis,Dpe27,Dopeav2091755m,63106299,63134122
Doryteuthis,Dpe32,Dopeav2105879m,62620629,62651703
Doryteuthis,Dpe01,Dopeav2002007m,77495363,77520910
Doryteuthis,Dpe04,Dopeav2015569m,128869961,128890868
Doryteuthis,Dpe08,Dopeav2027593m,14240749,14282377
Doryteuthis,Dpe04,Dopeav2013601m,59112373,59114605
Doryteuthis,Dpe15,Dopeav2054835m,90926388,90932776
Doryteuthis,Dpe41,Dopeav2127956m,58518945,58519475
Doryteuthis,Dpe04,Dopeav2012163m,3651769,3668095
Doryteuthis,Dpe39,Dopeav2122535m,35469103,35469648
Doryteuthis,Dpe13,Dopeav2047179m,78140733,78143645
Doryteuthis,Dpe24,Dopeav2083568m,94852499,94898894
Doryteuthis,Dpe15,Dopeav2054689m,87676942,87685531
Doryteuthis,Dpe07,Dopeav2024485m,35560298,35564212
Doryteuthis,Dpe13,Dopeav2046413m,52853164,52853563
Doryteuthis,Dpe19,Dopeav2066896m,28030453,28030677
Doryteuthis,Dpe08,Dopeav2029420m,84520126,84684435
Doryteuthis,Dpe06,Dopeav2020145m,11519232,11539647
Doryteuthis,Dpe45,Dopeav2133898m,9603022,9616982
Doryteuthis,Dpe15,Dopeav2054368m,80435391,80440350
Doryteuthis,Dpe29,Dopeav2096349m,25102369,25102740
Doryteuthis,Dpe23,Dopeav2077907m,10227044,10227520
Doryteuthis,Dpe22,Dopeav2077525m,94406089,94406608
Doryteuthis,Dpe18,Dopeav2065285m,78375348,78375828
Doryteuthis,Dpe19,Dopeav2067600m,52920644,52952798
Doryteuthis,Dpe11,Dopeav2040219m,95954075,96030340
Doryteuthis,Dpe05,Dopeav2016908m,34293374,34360687
Doryteuthis,Dpe15,Dopeav2054036m,73391742,73401594
Doryteuthis,Dpe09,Dopeav2031751m,47829113,48050219
Doryteuthis,Dpe42,Dopeav2128029m,300354,317050
Doryteuthis,Dpe15,Dopeav2051987m,21051166,21052323
Doryteuthis,scDpe2533,Dopeav2138522m,5061,5447
Doryteuthis,Dpe15,Dopeav2053094m,50016030,50136909
Doryteuthis,Dpe15,Dopeav2052126m,23241105,23257245
Doryteuthis,Dpe15,Dopeav2054245m,77965499,77970786
Doryteuthis,Dpe32,Dopeav2105712m,56623790,56624697
Doryteuthis,Dpe25,Dopeav2085966m,67762305,67766102
Doryteuthis,Dpe26,Dopeav2088713m,67683426,67684187
Doryteuthis,Dpe16,Dopeav2058339m,73400059,73411608
Doryteuthis,Dpe09,Dopeav2033421m,110435759,110743469
Doryteuthis,Dpe01,Dopeav2000688m,26729950,26738910
Doryteuthis,Dpe01,Dopeav2000853m,33085440,33086674
Doryteuthis,Dpe27,Dopeav2089682m,4733581,5001709
Doryteuthis,Dpe02,Dopeav2006479m,83070273,83102910
Doryteuthis,Dpe14,Dopeav2049797m,64530572,64905345
Doryteuthis,Dpe15,Dopeav2052407m,32274345,32275907
Doryteuthis,Dpe18,Dopeav2064551m,55237771,55247902
Doryteuthis,Dpe15,Dopeav2054474m,83652991,83653581
Doryteuthis,Dpe25,Dopeav2083781m,4846078,4875367
Doryteuthis,Dpe46,Dopeav2135869m,22051876,22057958
Doryteuthis,Dpe11,Dopeav2040439m,103376729,103460509
Doryteuthis,Dpe19,Dopeav2067581m,52319274,52319474
Doryteuthis,Dpe41,Dopeav2127932m,57722087,57722473
Doryteuthis,Dpe02,Dopeav2007022m,102653456,102661261
Doryteuthis,Dpe11,Dopeav2039759m,82929797,82930523
Doryteuthis,Dpe18,Dopeav2063027m,8339203,8359718
Doryteuthis,Dpe03,Dopeav2009240m,34362914,34439947
Doryteuthis,Dpe10,Dopeav2036710m,106946644,106947168
Doryteuthis,Dpe31,Dopeav2101686m,21749331,21804449
Doryteuthis,Dpe12,Dopeav2042819m,54823309,55059285
Doryteuthis,Dpe04,Dopeav2013626m,59833534,59867123
Doryteuthis,Dpe14,Dopeav2049954m,71488584,71489365
Doryteuthis,Dpe11,Dopeav2037905m,20552243,20593459
Doryteuthis,Dpe04,Dopeav2014957m,103487012,103565316
Doryteuthis,Dpe08,Dopeav2030263m,121438318,121456145
Doryteuthis,Dpe09,Dopeav2033228m,102301918,102329193
Doryteuthis,Dpe26,Dopeav2088964m,75247961,75284318
Doryteuthis,Dpe37,Dopeav2117439m,7973908,7994821
Doryteuthis,Dpe16,Dopeav2056624m,13204349,13333326
Doryteuthis,Dpe08,Dopeav2027844m,26037877,26038104
Doryteuthis,Dpe35,Dopeav2112802m,22849544,22855810
Doryteuthis,Dpe03,Dopeav2011554m,133820334,133939933
Doryteuthis,Dpe03,Dopeav2011467m,129770508,129770813
Doryteuthis,Dpe01,Dopeav2001251m,47950202,47950887
Doryteuthis,Dpe29,Dopeav2096350m,25106210,25106587
Doryteuthis,Dpe14,Dopeav2048455m,8959934,8960236
Doryteuthis,Dpe41,Dopeav2126673m,26233782,26266455
Doryteuthis,Dpe21,Dopeav2073583m,60593840,60595720
Doryteuthis,Dpe10,Dopeav2036657m,104779341,104861933
Doryteuthis,Dpe46,Dopeav2135759m,18183873,18212850
Doryteuthis,Dpe17,Dopeav2061791m,77080157,77088354
Doryteuthis,Dpe11,Dopeav2038345m,34170074,34170397
Doryteuthis,Dpe35,Dopeav2112947m,28354497,28380620
Doryteuthis,Dpe19,Dopeav2068067m,70968491,70974034
Doryteuthis,Dpe16,Dopeav2058071m,64346997,64438973
Doryteuthis,Dpe05,Dopeav2016283m,10906928,11195121
Doryteuthis,Dpe02,Dopeav2006430m,81621070,81636599
Doryteuthis,Dpe32,Dopeav2104243m,11853323,11922630
Doryteuthis,Dpe08,Dopeav2029642m,93486426,93531737
Doryteuthis,Dpe43,Dopeav2131361m,40680670,40807507
Doryteuthis,Dpe09,Dopeav2031946m,53631215,53657276
Doryteuthis,Dpe23,Dopeav2080185m,87276781,87289331
Doryteuthis,Dpe45,Dopeav2133675m,2055256,2057053
Doryteuthis,Dpe12,Dopeav2042951m,59176322,59179543
Doryteuthis,Dpe05,Dopeav2018666m,101005922,101006545
Doryteuthis,Dpe05,Dopeav2018610m,99553773,99675242
Doryteuthis,Dpe02,Dopeav2005773m,60893032,60968964
Doryteuthis,Dpe05,Dopeav2018867m,110271713,110592252
Doryteuthis,Dpe41,Dopeav2127108m,36088678,36161377
Doryteuthis,Dpe13,Dopeav2045416m,19761799,19880876
Doryteuthis,Dpe01,Dopeav2000914m,36073440,36106336
Doryteuthis,Dpe43,Dopeav2131060m,32086310,32174592
Doryteuthis,Dpe21,Dopeav2073376m,53032665,53093537
Doryteuthis,Dpe44,Dopeav2132410m,19112796,19145338
Doryteuthis,Dpe33,Dopeav2107172m,13732725,13742979
Doryteuthis,Dpe17,Dopeav2062141m,88059432,88082645
Doryteuthis,Dpe27,Dopeav2092045m,72969132,72970737
Doryteuthis,Dpe09,Dopeav2033162m,99654541,99655908
Doryteuthis,Dpe06,Dopeav2022892m,109650491,109776176
Doryteuthis,Dpe08,Dopeav2030330m,124108661,124272062
Doryteuthis,Dpe21,Dopeav2074569m,92857322,92857873
Doryteuthis,Dpe09,Dopeav2031861m,51136720,51161930
Doryteuthis,Dpe03,Dopeav2009259m,34520783,34727898
Doryteuthis,Dpe40,Dopeav2125420m,52185404,52187216
Doryteuthis,Dpe11,Dopeav2039740m,81761726,82075876
Doryteuthis,Dpe43,Dopeav2131274m,38089505,38150203
Doryteuthis,Dpe01,Dopeav2000955m,37514765,37541042
Doryteuthis,Dpe15,Dopeav2055609m,106907005,106907832
Doryteuthis,Dpe27,Dopeav2091311m,50931983,50971749
Doryteuthis,Dpe31,Dopeav2102779m,49542267,49576151
Doryteuthis,Dpe01,Dopeav2001458m,56248351,56249210
Doryteuthis,Dpe25,Dopeav2084815m,35623048,35663814
Doryteuthis,Dpe24,Dopeav2082053m,43761934,43762881
Doryteuthis,Dpe45,Dopeav2134191m,17559067,17623015
Doryteuthis,Dpe15,Dopeav2054192m,76653165,76653904
Doryteuthis,Dpe21,Dopeav2072116m,7903953,7986417
Doryteuthis,Dpe27,Dopeav2092416m,83250077,83250451
Doryteuthis,Dpe15,Dopeav2055431m,102650796,102651437
Doryteuthis,Dpe02,Dopeav2006589m,86555702,86587368
Doryteuthis,Dpe01,Dopeav2000763m,29944071,29948119
Doryteuthis,Dpe10,Dopeav2037077m,120588690,120605244
Doryteuthis,Dpe01,Dopeav2003209m,123240223,123271145
Doryteuthis,Dpe15,Dopeav2055418m,102426493,102427155
Doryteuthis,Dpe44,Dopeav2132230m,14852019,14949449
Doryteuthis,Dpe15,Dopeav2054584m,85591774,85592090
Doryteuthis,Dpe11,Dopeav2038461m,40565325,40682335
Doryteuthis,Dpe27,Dopeav2089517m,460726,461334
Doryteuthis,Dpe11,Dopeav2040470m,104179267,104357772
Doryteuthis,Dpe39,Dopeav2122777m,41501209,41593682
Doryteuthis,Dpe14,Dopeav2050355m,89465295,89642998
Doryteuthis,Dpe26,Dopeav2088897m,73203183,73315091
Doryteuthis,Dpe06,Dopeav2020292m,16618583,16651012
Doryteuthis,Dpe31,Dopeav2103546m,71001614,71047685
Doryteuthis,Dpe35,Dopeav2112661m,17270326,17273979
Doryteuthis,Dpe23,Dopeav2079891m,74753921,74759029
Doryteuthis,Dpe03,Dopeav2008858m,18602774,18603505
Doryteuthis,Dpe23,Dopeav2077842m,8220206,8222396
Doryteuthis,Dpe17,Dopeav2060217m,28108350,28122950
Doryteuthis,scDpe0177,Dopeav2137303m,177340,177894
Doryteuthis,Dpe13,Dopeav2045236m,13554809,13673353
Doryteuthis,Dpe29,Dopeav2097671m,65204473,65257375
Doryteuthis,Dpe35,Dopeav2113103m,33659416,33681231
Doryteuthis,Dpe22,Dopeav2075794m,30220657,30333105
Doryteuthis,Dpe11,Dopeav2040971m,120095084,120140459
Doryteuthis,scDpe2290,Dopeav2138454m,3,3799
Doryteuthis,Dpe15,Dopeav2054933m,92470473,92476115
Doryteuthis,Dpe03,Dopeav2011640m,136835166,136837198
Doryteuthis,Dpe32,Dopeav2104124m,8125481,8183788
Doryteuthis,Dpe11,Dopeav2040503m,105622942,105689483
Doryteuthis,Dpe13,Dopeav2046061m,41455005,41510471
Doryteuthis,Dpe11,Dopeav2038916m,58052556,58055310
Doryteuthis,Dpe16,Dopeav2058733m,85600312,85601340
Doryteuthis,Dpe31,Dopeav2101371m,13058987,13069692
Doryteuthis,Dpe36,Dopeav2114891m,14384250,14407058
Doryteuthis,Dpe17,Dopeav2060829m,45859063,45955058
Doryteuthis,Dpe04,Dopeav2012654m,21144445,21208615
Doryteuthis,Dpe36,Dopeav2115651m,33641845,33656222
Doryteuthis,Dpe27,Dopeav2092719m,89521473,89549157
Doryteuthis,Dpe24,Dopeav2083384m,89812329,89813414
Doryteuthis,Dpe09,Dopeav2031972m,54152809,54310477
Doryteuthis,Dpe02,Dopeav2005330m,48022054,48207883
Doryteuthis,Dpe17,Dopeav2060118m,25647825,25647992
Doryteuthis,Dpe19,Dopeav2067858m,61986372,62042617
Doryteuthis,Dpe10,Dopeav2035955m,76500436,76637159
Doryteuthis,Dpe17,Dopeav2060131m,25965641,25979120
Doryteuthis,Dpe32,Dopeav2105948m,64334408,64335286
Doryteuthis,Dpe03,Dopeav2009879m,59607857,59615821
Doryteuthis,Dpe02,Dopeav2004333m,13479177,13479834
Doryteuthis,Dpe25,Dopeav2083892m,8126227,8223103
Doryteuthis,Dpe41,Dopeav2125921m,5725762,5726127
Doryteuthis,Dpe06,Dopeav2022924m,110505438,110547350
Doryteuthis,Dpe22,Dopeav2077232m,81008077,81008841
Doryteuthis,Dpe40,Dopeav2123691m,7171228,7174270
Doryteuthis,Dpe21,Dopeav2074153m,78495474,78496399
Doryteuthis,Dpe02,Dopeav2005031m,38447336,38447629
Doryteuthis,Dpe13,Dopeav2047937m,113351733,113465766
Doryteuthis,Dpe25,Dopeav2084016m,11581494,11582685
Doryteuthis,Dpe02,Dopeav2005018m,38196900,38217228
Doryteuthis,Dpe45,Dopeav2133803m,6263191,6327137
Doryteuthis,Dpe28,Dopeav2092961m,8265715,8266530
Doryteuthis,Dpe33,Dopeav2107611m,23875187,23906921
Doryteuthis,Dpe10,Dopeav2036832m,111109768,111111570
Doryteuthis,Dpe36,Dopeav2115702m,35373102,35388529
Doryteuthis,Dpe41,Dopeav2127741m,53348936,53355009
Doryteuthis,Dpe02,Dopeav2007067m,103755499,103796140
Doryteuthis,Dpe09,Dopeav2030773m,13777447,13790006
Doryteuthis,Dpe13,Dopeav2045961m,38416558,38417607
Doryteuthis,Dpe15,Dopeav2056030m,116477499,116483050
Doryteuthis,Dpe17,Dopeav2062399m,95852759,95979287
Doryteuthis,Dpe24,Dopeav2082207m,49538949,49541474
Doryteuthis,Dpe25,Dopeav2084274m,18030221,18080250
Doryteuthis,Dpe45,Dopeav2134497m,26376208,26494012
Doryteuthis,Dpe10,Dopeav2035914m,74633925,74656400
Doryteuthis,Dpe18,Dopeav2065893m,96707132,96914404
Doryteuthis,Dpe09,Dopeav2033303m,105098420,105242788
Doryteuthis,Dpe18,Dopeav2064653m,58935825,59005753
Doryteuthis,Dpe05,Dopeav2018545m,96511395,96590963
Doryteuthis,Dpe18,Dopeav2064890m,64471498,64500145
Doryteuthis,Dpe21,Dopeav2073934m,70861588,70884318
Doryteuthis,Dpe04,Dopeav2012615m,20053816,20063750
Doryteuthis,Dpe11,Dopeav2038167m,28961438,29031296
Doryteuthis,Dpe15,Dopeav2055848m,112046941,112054209
Doryteuthis,Dpe01,Dopeav2002975m,112142247,112294040
Doryteuthis,Dpe13,Dopeav2045719m,29550160,29573273
Doryteuthis,Dpe15,Dopeav2055137m,96780039,96780970
Doryteuthis,Dpe32,Dopeav2106048m,67002703,67507474
Doryteuthis,Dpe30,Dopeav2098517m,3520514,3607971
Doryteuthis,Dpe04,Dopeav2014391m,87660688,87662702
Doryteuthis,Dpe19,Dopeav2067970m,68145935,68155365
Doryteuthis,Dpe05,Dopeav2016678m,24720276,24946972
Doryteuthis,Dpe16,Dopeav2059104m,103887653,103916388
Doryteuthis,scDpe2066,Dopeav2138415m,4893,5231
Doryteuthis,Dpe31,Dopeav2103572m,72009269,72022025
Doryteuthis,Dpe14,Dopeav2048844m,25241293,25320652
Doryteuthis,Dpe24,Dopeav2082741m,67845823,67858808
Doryteuthis,Dpe44,Dopeav2132769m,29654082,29655041
Doryteuthis,Dpe04,Dopeav2013470m,54137391,54174156
Doryteuthis,Dpe12,Dopeav2043834m,84802279,84879755
Doryteuthis,Dpe15,Dopeav2051568m,8019068,8043307
Doryteuthis,Dpe36,Dopeav2115117m,20658560,20659960
Doryteuthis,Dpe03,Dopeav2009885m,59752233,59850959
Doryteuthis,Dpe27,Dopeav2090257m,22500269,22601167
Doryteuthis,Dpe41,Dopeav2127802m,54686578,54708625
Doryteuthis,Dpe04,Dopeav2012844m,30569272,30620114
Doryteuthis,Dpe28,Dopeav2093331m,20382447,20388842
Doryteuthis,Dpe28,Dopeav2093318m,19817648,19838569
Doryteuthis,Dpe06,Dopeav2022198m,85063986,85089029
Doryteuthis,Dpe14,Dopeav2049028m,31392775,31393781
Doryteuthis,Dpe36,Dopeav2116010m,44668351,44668800
Doryteuthis,Dpe44,Dopeav2132650m,26589916,26622978
Doryteuthis,Dpe30,Dopeav2100817m,76357459,76360787
Doryteuthis,Dpe39,Dopeav2122601m,37084017,37085519
Doryteuthis,Dpe03,Dopeav2009401m,39749303,39817916
Doryteuthis,Dpe30,Dopeav2100660m,69546144,69586707
Doryteuthis,Dpe39,Dopeav2121526m,7996546,8006319
Doryteuthis,Dpe39,Dopeav2123163m,53938216,53940361
Doryteuthis,Dpe17,Dopeav2059486m,3573919,3596863
Doryteuthis,Dpe32,Dopeav2105983m,65021054,65022709
Doryteuthis,Dpe17,Dopeav2061351m,63103537,63134791
Doryteuthis,Dpe08,Dopeav2029637m,93373170,93409301
Doryteuthis,Dpe01,Dopeav2001721m,69429872,69455089
Doryteuthis,Dpe24,Dopeav2082802m,70095312,70095990
Doryteuthis,Dpe36,Dopeav2114764m,9157989,9323071
Doryteuthis,Dpe22,Dopeav2076235m,42592740,42600303
Doryteuthis,Dpe02,Dopeav2004587m,21899606,21900765
Doryteuthis,Dpe33,Dopeav2108552m,50677270,50688110
Doryteuthis,Dpe26,Dopeav2087752m,32539878,32617615
Doryteuthis,Dpe11,Dopeav2040168m,94323104,94383175
Doryteuthis,Dpe24,Dopeav2083327m,87634473,87716006
Doryteuthis,Dpe06,Dopeav2020528m,25386705,25390456
Doryteuthis,Dpe01,Dopeav2001631m,64956455,64960759
Doryteuthis,Dpe35,Dopeav2113135m,34753288,34754163
Doryteuthis,Dpe06,Dopeav2023563m,132884598,132885008
Doryteuthis,Dpe28,Dopeav2092857m,4717703,4718068
Doryteuthis,Dpe18,Dopeav2063309m,17329485,17341676
Doryteuthis,Dpe16,Dopeav2057978m,59935920,59936291
Doryteuthis,Dpe24,Dopeav2083297m,86627274,86920932
Doryteuthis,Dpe10,Dopeav2035899m,74137591,74173763
Doryteuthis,Dpe05,Dopeav2016838m,30188558,30211961
Doryteuthis,Dpe42,Dopeav2129336m,40027361,40087747
Doryteuthis,Dpe32,Dopeav2105670m,56015171,56015494
Doryteuthis,Dpe16,Dopeav2059026m,101311895,101312230
Doryteuthis,Dpe08,Dopeav2029272m,80026615,80033145
Doryteuthis,Dpe20,Dopeav2069502m,26516516,26682807
Doryteuthis,Dpe36,Dopeav2115966m,42766504,42805155
Doryteuthis,Dpe01,Dopeav2001409m,54008387,54009029
Doryteuthis,Dpe32,Dopeav2106083m,68589611,68745578
Doryteuthis,Dpe39,Dopeav2122580m,36537937,36573270
Doryteuthis,Dpe19,Dopeav2066366m,6757821,6758460
Doryteuthis,Dpe15,Dopeav2052700m,39514449,39515569
Doryteuthis,Dpe43,Dopeav2130323m,10184587,10277615
Doryteuthis,Dpe04,Dopeav2014043m,72948304,72969741
Doryteuthis,Dpe10,Dopeav2037052m,118864185,119181657
Doryteuthis,Dpe03,Dopeav2009729m,54793369,54793925
Doryteuthis,Dpe20,Dopeav2069359m,21994284,22087929
Doryteuthis,Dpe06,Dopeav2022987m,112325513,112375396
Doryteuthis,Dpe15,Dopeav2055658m,107597706,107608380
Doryteuthis,Dpe03,Dopeav2009208m,33570611,33637871
Doryteuthis,Dpe17,Dopeav2060812m,45727875,45750035
Doryteuthis,Dpe33,Dopeav2108536m,50218148,50279195
Doryteuthis,Dpe32,Dopeav2104288m,12935721,12953534
Doryteuthis,Dpe05,Dopeav2016248m,10150884,10179247
Doryteuthis,Dpe35,Dopeav2112956m,28640029,28646757
