DoryGENE,EupGENE
Dopeav2004689m,cluster_2
Dopeav2059415m,cluster_1066
Dopeav2084819m,cluster_21712
Dopeav2083189m,cluster_17155
Dopeav2075775m,cluster_5651
Dopeav2113639m,cluster_16910
Dopeav2094032m,cluster_14394
Dopeav2096684m,cluster_17210
Dopeav2061657m,cluster_145
Dopeav2015372m,cluster_1798
Dopeav2132045m,cluster_3603
Dopeav2047942m,cluster_7373
Dopeav2030259m,cluster_21330
Dopeav2133593m,cluster_15497
Dopeav2011146m,cluster_24722
Dopeav2108376m,cluster_24515
Dopeav2042929m,cluster_12521
Dopeav2055242m,cluster_9736
Dopeav2096546m,cluster_20567
Dopeav2011215m,cluster_5256
Dopeav2035337m,cluster_5096
Dopeav2130910m,cluster_3803
Dopeav2053766m,cluster_17884
Dopeav2001529m,cluster_3633
Dopeav2093711m,cluster_14333
Dopeav2000777m,cluster_7722
Dopeav2087427m,cluster_27978
Dopeav2053777m,cluster_3247
Dopeav2061717m,cluster_6509
Dopeav2038461m,cluster_6122
Dopeav2118074m,cluster_1498
Dopeav2002358m,cluster_4982
Dopeav2005798m,cluster_5650
Dopeav2124804m,cluster_4127
Dopeav2073000m,cluster_4697
Dopeav2083014m,cluster_19584
Dopeav2094642m,cluster_23800
Dopeav2121277m,cluster_13230
Dopeav2105861m,cluster_3548
Dopeav2093846m,cluster_9246
Dopeav2129214m,cluster_15586
Dopeav2016153m,cluster_5667
Dopeav2039411m,cluster_12149
Dopeav2057937m,cluster_28090
Dopeav2097668m,cluster_3133
Dopeav2027143m,cluster_15975
Dopeav2132522m,cluster_13987
Dopeav2003945m,cluster_2435
Dopeav2071326m,cluster_23821
Dopeav2048759m,cluster_24277
Dopeav2060139m,cluster_12805
Dopeav2037143m,cluster_10986
Dopeav2037060m,cluster_8689
Dopeav2073135m,cluster_27310
Dopeav2105446m,cluster_890
Dopeav2112721m,cluster_12193
Dopeav2000588m,cluster_10895
Dopeav2056056m,cluster_25805
Dopeav2077437m,cluster_29179
Dopeav2074547m,cluster_19855
Dopeav2040916m,cluster_19559
Dopeav2132982m,cluster_7346
Dopeav2083158m,cluster_8536
Dopeav2028056m,cluster_14603
Dopeav2132302m,cluster_20400
Dopeav2121422m,cluster_17179
Dopeav2007294m,cluster_11977
Dopeav2104349m,cluster_5831
Dopeav2017799m,cluster_2782
Dopeav2095981m,cluster_5036
Dopeav2040687m,cluster_3671
Dopeav2124602m,cluster_8874
Dopeav2040003m,cluster_16264
Dopeav2116023m,cluster_21967
Dopeav2134335m,cluster_9496
Dopeav2079002m,cluster_19925
Dopeav2115105m,cluster_2666
Dopeav2045514m,cluster_4954
Dopeav2040211m,cluster_13775
Dopeav2129537m,cluster_25935
Dopeav2080186m,cluster_4724
Dopeav2106185m,cluster_20686
Dopeav2096416m,cluster_9368
Dopeav2039761m,cluster_13481
Dopeav2076373m,cluster_10222
Dopeav2053531m,cluster_16295
Dopeav2103557m,cluster_2132
Dopeav2122828m,cluster_23280
Dopeav2138223m,cluster_23669
Dopeav2060114m,cluster_27807
Dopeav2120111m,cluster_18675
Dopeav2127809m,cluster_6272
Dopeav2037941m,cluster_10330
Dopeav2054159m,cluster_29208
Dopeav2025141m,cluster_22118
Dopeav2114182m,cluster_3306
Dopeav2075623m,cluster_25861
Dopeav2071274m,cluster_9413
Dopeav2042016m,cluster_14628
Dopeav2007020m,cluster_25660
Dopeav2047346m,cluster_4583
Dopeav2116294m,cluster_13788
Dopeav2110012m,cluster_14444
Dopeav2060542m,cluster_18853
Dopeav2057073m,cluster_28095
Dopeav2049886m,cluster_24520
Dopeav2016700m,cluster_12972
Dopeav2064411m,cluster_609
Dopeav2001500m,cluster_8220
Dopeav2097520m,cluster_20560
Dopeav2131160m,cluster_17592
Dopeav2079681m,cluster_27765
Dopeav2048462m,cluster_13586
Dopeav2063681m,cluster_6027
Dopeav2007023m,cluster_7632
Dopeav2123684m,cluster_20649
Dopeav2091687m,cluster_10809
Dopeav2129880m,cluster_23093
Dopeav2079168m,cluster_2846
Dopeav2115091m,cluster_6940
Dopeav2124038m,cluster_12191
Dopeav2034000m,cluster_8023
Dopeav2104543m,cluster_6088
Dopeav2037246m,cluster_16424
Dopeav2021569m,cluster_11350
Dopeav2131163m,cluster_6861
Dopeav2089655m,cluster_23389
Dopeav2097523m,cluster_1331
Dopeav2088872m,cluster_13057
Dopeav2054723m,cluster_15424
Dopeav2114307m,cluster_4355
Dopeav2057070m,cluster_11445
Dopeav2032280m,cluster_28901
Dopeav2101712m,cluster_27108
Dopeav2010574m,cluster_8733
Dopeav2044311m,cluster_22676
Dopeav2123928m,cluster_8395
Dopeav2033417m,cluster_3635
Dopeav2062480m,cluster_17790
Dopeav2105490m,cluster_1219
Dopeav2052635m,cluster_23483
Dopeav2083708m,cluster_8084
Dopeav2096593m,cluster_27189
Dopeav2068105m,cluster_22611
Dopeav2125954m,cluster_22613
Dopeav2102481m,cluster_23406
Dopeav2081137m,cluster_19349
Dopeav2049542m,cluster_24523
Dopeav2038326m,cluster_20228
Dopeav2067488m,cluster_12291
Dopeav2122348m,cluster_16099
Dopeav2127864m,cluster_1960
Dopeav2026057m,cluster_26438
Dopeav2134675m,cluster_11495
Dopeav2082726m,cluster_10606
Dopeav2126056m,cluster_16821
Dopeav2024000m,cluster_2807
Dopeav2094324m,cluster_2230
Dopeav2118863m,cluster_6139
Dopeav2048897m,cluster_25698
Dopeav2099837m,cluster_18953
Dopeav2040553m,cluster_4163
Dopeav2052045m,cluster_11465
Dopeav2037672m,cluster_12604
Dopeav2110509m,cluster_12522
Dopeav2070540m,cluster_14690
Dopeav2114203m,cluster_25538
Dopeav2063858m,cluster_12457
Dopeav2082968m,cluster_1135
Dopeav2035996m,cluster_6723
Dopeav2089628m,cluster_28367
Dopeav2027196m,cluster_3920
Dopeav2041972m,cluster_7617
Dopeav2123882m,cluster_18267
Dopeav2124112m,cluster_3808
Dopeav2119813m,cluster_1444
Dopeav2011190m,cluster_24833
Dopeav2118433m,cluster_7330
Dopeav2016535m,cluster_19190
Dopeav2115615m,cluster_15009
Dopeav2081932m,cluster_4003
Dopeav2044007m,cluster_18327
Dopeav2045670m,cluster_2843
Dopeav2070763m,cluster_7284
Dopeav2136846m,cluster_17127
Dopeav2036094m,cluster_2349
Dopeav2024687m,cluster_16741
Dopeav2103683m,cluster_1729
Dopeav2084929m,cluster_15277
Dopeav2024995m,cluster_8866
Dopeav2000806m,cluster_5145
Dopeav2024003m,cluster_310
Dopeav2024455m,cluster_9502
Dopeav2035141m,cluster_3425
Dopeav2064541m,cluster_27450
Dopeav2013628m,cluster_2385
Dopeav2135997m,cluster_15657
Dopeav2135685m,cluster_11695
Dopeav2082140m,cluster_9452
Dopeav2031695m,cluster_6365
Dopeav2101401m,cluster_29256
Dopeav2031987m,cluster_24016
Dopeav2061028m,cluster_2538
Dopeav2050197m,cluster_11503
Dopeav2069826m,cluster_2443
Dopeav2080272m,cluster_16394
Dopeav2082063m,cluster_5713
Dopeav2066398m,cluster_4699
Dopeav2073942m,cluster_3904
Dopeav2018546m,cluster_865
Dopeav2047995m,cluster_14811
Dopeav2021200m,cluster_26344
Dopeav2134930m,cluster_6222
Dopeav2112988m,cluster_7066
Dopeav2038754m,cluster_4375
Dopeav2022036m,cluster_5999
Dopeav2080161m,cluster_5918
Dopeav2098344m,cluster_10806
Dopeav2065199m,cluster_14803
Dopeav2096353m,cluster_4855
Dopeav2066929m,cluster_5948
Dopeav2054131m,cluster_13058
Dopeav2131306m,cluster_18885
Dopeav2093812m,cluster_8320
Dopeav2040232m,cluster_989
Dopeav2106103m,cluster_10149
Dopeav2033433m,cluster_31
Dopeav2010366m,cluster_25312
Dopeav2104885m,cluster_4409
Dopeav2056812m,cluster_4062
Dopeav2083841m,cluster_3660
Dopeav2083795m,cluster_10686
Dopeav2127913m,cluster_1784
Dopeav2053064m,cluster_13107
Dopeav2112555m,cluster_8013
Dopeav2073147m,cluster_9615
Dopeav2083222m,cluster_9849
Dopeav2038475m,cluster_20236
Dopeav2100700m,cluster_19357
Dopeav2096350m,cluster_16111
Dopeav2040393m,cluster_9801
Dopeav2114170m,cluster_1394
Dopeav2086228m,cluster_8522
Dopeav2015929m,cluster_9781
Dopeav2097088m,cluster_1852
Dopeav2023344m,cluster_2503
Dopeav2022041m,cluster_4919
Dopeav2075536m,cluster_22563
Dopeav2047135m,cluster_2113
Dopeav2031965m,cluster_8030
Dopeav2059352m,cluster_19239
Dopeav2016807m,cluster_1886
Dopeav2128628m,cluster_9611
Dopeav2082605m,cluster_6833
Dopeav2106645m,cluster_5359
Dopeav2003937m,cluster_7085
Dopeav2130549m,cluster_7371
Dopeav2022924m,cluster_11770
Dopeav2108059m,cluster_8371
Dopeav2042008m,cluster_16980
Dopeav2084042m,cluster_5280
Dopeav2018495m,cluster_6386
Dopeav2005887m,cluster_5664
Dopeav2134190m,cluster_2372
Dopeav2041980m,cluster_19199
Dopeav2120419m,cluster_2602
Dopeav2132647m,cluster_13574
Dopeav2128304m,cluster_4324
Dopeav2062500m,cluster_13985
Dopeav2006425m,cluster_6848
Dopeav2034908m,cluster_13792
Dopeav2107776m,cluster_12290
Dopeav2076306m,cluster_7427
Dopeav2018416m,cluster_21258
Dopeav2080036m,cluster_9369
Dopeav2067459m,cluster_24416
Dopeav2079943m,cluster_2356
Dopeav2005339m,cluster_7173
Dopeav2104876m,cluster_11063
Dopeav2056614m,cluster_9554
Dopeav2018588m,cluster_4214
Dopeav2091331m,cluster_23129
Dopeav2054296m,cluster_17279
Dopeav2057978m,cluster_19532
Dopeav2134193m,cluster_24123
Dopeav2122918m,cluster_5053
Dopeav2020063m,cluster_28543
Dopeav2058743m,cluster_4472
Dopeav2117746m,cluster_14752
Dopeav2100331m,cluster_8583
Dopeav2127718m,cluster_6185
Dopeav2064061m,cluster_14314
Dopeav2039392m,cluster_23353
Dopeav2028106m,cluster_24680
Dopeav2021859m,cluster_27374
Dopeav2098671m,cluster_4440
Dopeav2048012m,cluster_3365
Dopeav2108731m,cluster_14287
Dopeav2116414m,cluster_457
Dopeav2129336m,cluster_7208
Dopeav2115400m,cluster_12903
Dopeav2058281m,cluster_475
Dopeav2030026m,cluster_7943
Dopeav2107029m,cluster_14684
Dopeav2062799m,cluster_13081
Dopeav2126756m,cluster_16008
Dopeav2063786m,cluster_1337
Dopeav2122830m,cluster_9711
Dopeav2057149m,cluster_12523
Dopeav2113363m,cluster_13720
Dopeav2124144m,cluster_11804
Dopeav2134257m,cluster_10510
Dopeav2094169m,cluster_3477
Dopeav2137532m,cluster_12383
Dopeav2023671m,cluster_26441
Dopeav2115284m,cluster_14406
Dopeav2120156m,cluster_1800
Dopeav2069433m,cluster_7252
Dopeav2016428m,cluster_4226
Dopeav2070293m,cluster_2232
Dopeav2027803m,cluster_24327
Dopeav2097374m,cluster_11359
Dopeav2025411m,cluster_24914
Dopeav2071307m,cluster_6452
Dopeav2104779m,cluster_9742
Dopeav2082876m,cluster_8443
Dopeav2101138m,cluster_18830
Dopeav2026238m,cluster_4521
Dopeav2063957m,cluster_14278
Dopeav2030876m,cluster_2791
Dopeav2126695m,cluster_10226
Dopeav2091951m,cluster_3873
Dopeav2027596m,cluster_12324
Dopeav2117811m,cluster_6465
Dopeav2101668m,cluster_15457
Dopeav2045999m,cluster_20622
Dopeav2105210m,cluster_20263
Dopeav2059071m,cluster_2183
Dopeav2013096m,cluster_6397
Dopeav2079748m,cluster_1595
Dopeav2065211m,cluster_9583
Dopeav2033390m,cluster_17523
Dopeav2108746m,cluster_16592
Dopeav2060142m,cluster_5040
Dopeav2078518m,cluster_25385
Dopeav2136987m,cluster_26411
Dopeav2079994m,cluster_2940
Dopeav2100599m,cluster_18388
Dopeav2109488m,cluster_1936
Dopeav2124442m,cluster_15724
Dopeav2131743m,cluster_14732
Dopeav2104354m,cluster_14840
Dopeav2031570m,cluster_4075
Dopeav2050253m,cluster_1034
Dopeav2125898m,cluster_14779
Dopeav2056229m,cluster_25509
Dopeav2088911m,cluster_369
Dopeav2040430m,cluster_6699
Dopeav2039943m,cluster_11206
Dopeav2005395m,cluster_16102
Dopeav2117788m,cluster_2472
Dopeav2103919m,cluster_14818
Dopeav2043290m,cluster_8271
Dopeav2091824m,cluster_3327
Dopeav2020026m,cluster_7978
Dopeav2114461m,cluster_421
Dopeav2123215m,cluster_13298
Dopeav2033393m,cluster_2316
Dopeav2113118m,cluster_9082
Dopeav2000933m,cluster_2019
Dopeav2068730m,cluster_8611
Dopeav2018602m,cluster_9787
Dopeav2024951m,cluster_13450
Dopeav2082621m,cluster_9167
Dopeav2060292m,cluster_10714
Dopeav2072646m,cluster_6698
Dopeav2073150m,cluster_22998
Dopeav2094570m,cluster_11637
Dopeav2045355m,cluster_10231
Dopeav2082885m,cluster_11828
Dopeav2110634m,cluster_26941
Dopeav2050250m,cluster_26546
Dopeav2031573m,cluster_3557
Dopeav2105606m,cluster_3898
Dopeav2011009m,cluster_11748
Dopeav2125513m,cluster_9343
Dopeav2031711m,cluster_9125
Dopeav2132258m,cluster_27886
Dopeav2008840m,cluster_14551
Dopeav2053675m,cluster_7574
Dopeav2005308m,cluster_13502
Dopeav2047622m,cluster_47
Dopeav2068694m,cluster_27016
Dopeav2055251m,cluster_13862
Dopeav2020543m,cluster_17144
Dopeav2093363m,cluster_1197
Dopeav2007991m,cluster_6901
Dopeav2036318m,cluster_14740
Dopeav2026040m,cluster_3000
Dopeav2028360m,cluster_4510
Dopeav2047491m,cluster_2709
Dopeav2086666m,cluster_23820
Dopeav2039075m,cluster_28325
Dopeav2021582m,cluster_3094
Dopeav2106323m,cluster_9242
Dopeav2050838m,cluster_6383
Dopeav2096709m,cluster_11501
Dopeav2029313m,cluster_7631
Dopeav2096648m,cluster_2290
Dopeav2021831m,cluster_5420
Dopeav2054928m,cluster_9424
Dopeav2012875m,cluster_4493
Dopeav2084742m,cluster_7727
Dopeav2084868m,cluster_22025
Dopeav2091807m,cluster_1168
Dopeav2064519m,cluster_12215
Dopeav2077196m,cluster_4550
Dopeav2011738m,cluster_10543
Dopeav2062574m,cluster_20111
Dopeav2107067m,cluster_9717
Dopeav2131264m,cluster_14648
Dopeav2126504m,cluster_5179
Dopeav2136608m,cluster_27481
Dopeav2123159m,cluster_20831
Dopeav2069785m,cluster_24482
Dopeav2090581m,cluster_11074
Dopeav2084125m,cluster_3919
Dopeav2012848m,cluster_10080
Dopeav2113106m,cluster_17854
Dopeav2127689m,cluster_10941
Dopeav2104968m,cluster_2343
Dopeav2075784m,cluster_5134
Dopeav2071170m,cluster_476
Dopeav2007066m,cluster_14573
Dopeav2121471m,cluster_11338
Dopeav2039825m,cluster_20519
Dopeav2023879m,cluster_12390
Dopeav2083900m,cluster_1132
Dopeav2104557m,cluster_16917
Dopeav2103596m,cluster_14528
Dopeav2094582m,cluster_23803
Dopeav2043557m,cluster_8010
Dopeav2083380m,cluster_15365
Dopeav2094056m,cluster_4839
Dopeav2000686m,cluster_6213
Dopeav2021274m,cluster_9074
Dopeav2114573m,cluster_7186
Dopeav2046185m,cluster_8627
Dopeav2082763m,cluster_21026
Dopeav2061091m,cluster_1899
Dopeav2049789m,cluster_586
Dopeav2112887m,cluster_9719
Dopeav2045627m,cluster_3709
Dopeav2021846m,cluster_15538
Dopeav2101376m,cluster_8869
Dopeav2132225m,cluster_13692
Dopeav2117120m,cluster_20399
Dopeav2039552m,cluster_28048
Dopeav2038363m,cluster_13840
Dopeav2105514m,cluster_27278
Dopeav2018827m,cluster_1273
Dopeav2065346m,cluster_8717
Dopeav2124593m,cluster_7768
Dopeav2038054m,cluster_10012
Dopeav2019900m,cluster_5315
Dopeav2098312m,cluster_1919
Dopeav2016599m,cluster_23421
Dopeav2082760m,cluster_2279
Dopeav2028097m,cluster_8423
Dopeav2031831m,cluster_23450
Dopeav2133804m,cluster_6580
Dopeav2017843m,cluster_17745
Dopeav2006652m,cluster_704
Dopeav2083903m,cluster_13376
Dopeav2118076m,cluster_6632
Dopeav2037919m,cluster_3179
Dopeav2054416m,cluster_6090
Dopeav2036633m,cluster_2133
Dopeav2020829m,cluster_2114
Dopeav2080741m,cluster_22908
Dopeav2082543m,cluster_7620
Dopeav2105330m,cluster_16727
Dopeav2006921m,cluster_3496
Dopeav2132329m,cluster_12165
Dopeav2090262m,cluster_18335
Dopeav2040310m,cluster_26922
Dopeav2000592m,cluster_2694
Dopeav2123949m,cluster_5569
Dopeav2102563m,cluster_1478
Dopeav2093892m,cluster_14952
Dopeav2046034m,cluster_8760
Dopeav2128222m,cluster_9921
Dopeav2048650m,cluster_6755
Dopeav2065119m,cluster_9206
Dopeav2053771m,cluster_14097
Dopeav2061711m,cluster_18495
Dopeav2004887m,cluster_12444
Dopeav2005027m,cluster_15079
Dopeav2041973m,cluster_1270
Dopeav2132458m,cluster_7164
Dopeav2134368m,cluster_4949
Dopeav2122181m,cluster_9584
Dopeav2040552m,cluster_5153
Dopeav2064939m,cluster_11388
Dopeav2037673m,cluster_7480
Dopeav2056121m,cluster_1555
Dopeav2018545m,cluster_4810
Dopeav2070875m,cluster_15607
Dopeav2080100m,cluster_19518
Dopeav2048653m,cluster_28867
Dopeav2001470m,cluster_6566
Dopeav2039417m,cluster_6305
Dopeav2118609m,cluster_10241
Dopeav2097855m,cluster_9741
Dopeav2079029m,cluster_3791
Dopeav2130499m,cluster_20695
Dopeav2007956m,cluster_9619
Dopeav2011192m,cluster_844
Dopeav2056837m,cluster_7871
Dopeav2069552m,cluster_14935
Dopeav2119754m,cluster_15162
Dopeav2022574m,cluster_29162
Dopeav2104114m,cluster_1348
Dopeav2048460m,cluster_3349
Dopeav2054178m,cluster_1041
Dopeav2095756m,cluster_1190
Dopeav2045941m,cluster_8005
Dopeav2077595m,cluster_6091
Dopeav2104542m,cluster_537
Dopeav2029417m,cluster_16854
Dopeav2097635m,cluster_25107
Dopeav2031728m,cluster_18101
Dopeav2024345m,cluster_11599
Dopeav2018251m,cluster_13498
Dopeav2100411m,cluster_8516
Dopeav2101653m,cluster_27113
Dopeav2114180m,cluster_12991
Dopeav2055661m,cluster_9209
Dopeav2107609m,cluster_10545
Dopeav2054145m,cluster_8976
Dopeav2031977m,cluster_12203
Dopeav2124368m,cluster_3071
Dopeav2043848m,cluster_8102
Dopeav2037539m,cluster_3203
Dopeav2105492m,cluster_27280
Dopeav2045246m,cluster_8698
Dopeav2060543m,cluster_18854
Dopeav2082606m,cluster_17919
Dopeav2073086m,cluster_15088
Dopeav2112978m,cluster_713
Dopeav2103551m,cluster_954
Dopeav2097045m,cluster_556
Dopeav2060760m,cluster_20026
Dopeav2067445m,cluster_24428
Dopeav2058481m,cluster_8112
Dopeav2037245m,cluster_25764
Dopeav2049934m,cluster_6811
Dopeav2040889m,cluster_239
Dopeav2035135m,cluster_5972
Dopeav2013656m,cluster_9114
Dopeav2124676m,cluster_12087
Dopeav2134192m,cluster_263
Dopeav2084633m,cluster_20822
Dopeav2077802m,cluster_26161
Dopeav2124494m,cluster_13572
Dopeav2092556m,cluster_4754
Dopeav2020292m,cluster_9281
Dopeav2030237m,cluster_15344
Dopeav2020947m,cluster_15570
Dopeav2033152m,cluster_18677
Dopeav2040943m,cluster_5393
Dopeav2109941m,cluster_15695
Dopeav2008068m,cluster_15092
Dopeav2069392m,cluster_4820
Dopeav2104089m,cluster_10660
Dopeav2009197m,cluster_1638
Dopeav2113485m,cluster_5303
Dopeav2092082m,cluster_10789
Dopeav2061639m,cluster_16179
Dopeav2051265m,cluster_5299
Dopeav2083327m,cluster_448
Dopeav2013841m,cluster_10701
Dopeav2023568m,cluster_18456
Dopeav2073392m,cluster_3965
Dopeav2100623m,cluster_5168
Dopeav2029344m,cluster_4764
Dopeav2130555m,cluster_567
Dopeav2067478m,cluster_24414
Dopeav2009864m,cluster_29019
Dopeav2111378m,cluster_2905
Dopeav2106283m,cluster_10139
Dopeav2134457m,cluster_5158
Dopeav2098994m,cluster_7456
Dopeav2089795m,cluster_351
Dopeav2089841m,cluster_23753
Dopeav2103670m,cluster_7589
Dopeav2122367m,cluster_11759
Dopeav2082514m,cluster_5103
Dopeav2090386m,cluster_8706
Dopeav2063671m,cluster_22468
Dopeav2079393m,cluster_17978
Dopeav2091677m,cluster_14509
Dopeav2122489m,cluster_6583
Dopeav2005773m,cluster_6638
Dopeav2130822m,cluster_14915
Dopeav2091666m,cluster_14512
Dopeav2113476m,cluster_8589
Dopeav2011113m,cluster_29013
Dopeav2096513m,cluster_15973
Dopeav2002274m,cluster_5223
Dopeav2019223m,cluster_5586
Dopeav2072174m,cluster_14405
Dopeav2136028m,cluster_21103
Dopeav2127098m,cluster_25012
Dopeav2088531m,cluster_17981
Dopeav2043953m,cluster_7547
Dopeav2067596m,cluster_2206
Dopeav2024996m,cluster_1151
Dopeav2039150m,cluster_23326
Dopeav2069889m,cluster_27618
Dopeav2073940m,cluster_4499
Dopeav2121589m,cluster_11288
Dopeav2087750m,cluster_22821
Dopeav2000334m,cluster_1496
Dopeav2090201m,cluster_10888
Dopeav2009662m,cluster_132
Dopeav2001184m,cluster_801
Dopeav2052636m,cluster_23484
Dopeav2030330m,cluster_14218
Dopeav2082292m,cluster_1309
Dopeav2060621m,cluster_91
Dopeav2073943m,cluster_14233
Dopeav2016411m,cluster_21121
Dopeav2071055m,cluster_2842
Dopeav2027116m,cluster_8218
Dopeav2039153m,cluster_14292
Dopeav2035916m,cluster_2371
Dopeav2064700m,cluster_24665
Dopeav2104950m,cluster_22498
Dopeav2115695m,cluster_28852
Dopeav2128649m,cluster_1179
Dopeav2037551m,cluster_1155
Dopeav2082062m,cluster_8045
Dopeav2115307m,cluster_4319
Dopeav2133872m,cluster_14854
Dopeav2082953m,cluster_4421
Dopeav2029393m,cluster_10548
Dopeav2055495m,cluster_5597
Dopeav2007295m,cluster_9059
Dopeav2077195m,cluster_9151
Dopeav2002749m,cluster_16757
Dopeav2012194m,cluster_24741
Dopeav2126202m,cluster_25482
Dopeav2015563m,cluster_9293
Dopeav2005556m,cluster_1897
Dopeav2084847m,cluster_20746
Dopeav2061695m,cluster_4561
Dopeav2031791m,cluster_2075
Dopeav2026101m,cluster_10875
Dopeav2088159m,cluster_7994
Dopeav2061307m,cluster_8370
Dopeav2007178m,cluster_21299
Dopeav2010808m,cluster_22761
Dopeav2016449m,cluster_19757
Dopeav2096667m,cluster_8663
Dopeav2128611m,cluster_23017
Dopeav2104514m,cluster_2281
Dopeav2073134m,cluster_7653
Dopeav2039147m,cluster_401
Dopeav2057128m,cluster_194
Dopeav2093938m,cluster_2382
Dopeav2110713m,cluster_15074
Dopeav2052374m,cluster_27675
Dopeav2088804m,cluster_75
Dopeav2073152m,cluster_4853
Dopeav2054872m,cluster_11537
Dopeav2053137m,cluster_8403
Dopeav2069664m,cluster_22689
Dopeav2049779m,cluster_21902
Dopeav2088723m,cluster_20455
Dopeav2060332m,cluster_21695
Dopeav2082490m,cluster_2607
Dopeav2082950m,cluster_13662
Dopeav2012876m,cluster_9256
Dopeav2040454m,cluster_6778
Dopeav2062688m,cluster_9557
Dopeav2061756m,cluster_11886
Dopeav2115104m,cluster_9530
Dopeav2100666m,cluster_4831
Dopeav2073786m,cluster_4992
Dopeav2086359m,cluster_528
Dopeav2118858m,cluster_11219
Dopeav2118534m,cluster_21642
Dopeav2101479m,cluster_1863
Dopeav2028198m,cluster_17067
Dopeav2027139m,cluster_28504
Dopeav2062584m,cluster_25789
Dopeav2035939m,cluster_23601
Dopeav2122581m,cluster_21344
Dopeav2083096m,cluster_493
Dopeav2022323m,cluster_9671
Dopeav2038981m,cluster_5857
Dopeav2038301m,cluster_1938
Dopeav2090225m,cluster_15058
Dopeav2005945m,cluster_2732
Dopeav2020490m,cluster_23553
Dopeav2128383m,cluster_21632
Dopeav2056198m,cluster_16096
Dopeav2128095m,cluster_17194
Dopeav2083266m,cluster_9893
Dopeav2009394m,cluster_4680
Dopeav2073454m,cluster_7646
Dopeav2007087m,cluster_26311
Dopeav2019096m,cluster_3468
Dopeav2060605m,cluster_15706
Dopeav2013423m,cluster_11478
Dopeav2086774m,cluster_27905
Dopeav2089819m,cluster_10284
Dopeav2087498m,cluster_14580
Dopeav2069609m,cluster_22892
Dopeav2005978m,cluster_1328
Dopeav2019015m,cluster_8492
Dopeav2135593m,cluster_1718
Dopeav2133208m,cluster_27138
Dopeav2093198m,cluster_6081
Dopeav2069454m,cluster_24245
Dopeav2058929m,cluster_777
Dopeav2055777m,cluster_8723
Dopeav2019961m,cluster_7440
Dopeav2104618m,cluster_10984
Dopeav2062851m,cluster_25863
Dopeav2122854m,cluster_13201
Dopeav2065345m,cluster_5414
Dopeav2064388m,cluster_1401
Dopeav2115639m,cluster_7097
Dopeav2039085m,cluster_8796
Dopeav2126183m,cluster_13979
Dopeav2075003m,cluster_3869
Dopeav2038938m,cluster_15258
Dopeav2128900m,cluster_19244
Dopeav2045478m,cluster_28074
Dopeav2012885m,cluster_1966
Dopeav2005820m,cluster_24032
Dopeav2039550m,cluster_28047
Dopeav2039029m,cluster_4613
Dopeav2035824m,cluster_7500
Dopeav2001851m,cluster_4596
Dopeav2006713m,cluster_7462
Dopeav2058464m,cluster_23698
Dopeav2105140m,cluster_5775
Dopeav2012413m,cluster_11413
Dopeav2126474m,cluster_1841
Dopeav2016666m,cluster_7843
Dopeav2064003m,cluster_21805
Dopeav2031583m,cluster_10023
Dopeav2067941m,cluster_1753
Dopeav2058697m,cluster_26217
Dopeav2105354m,cluster_216
Dopeav2074345m,cluster_3638
Dopeav2098086m,cluster_22276
Dopeav2136966m,cluster_8137
Dopeav2049968m,cluster_5196
Dopeav2059081m,cluster_28907
Dopeav2119106m,cluster_276
Dopeav2021920m,cluster_15091
Dopeav2086331m,cluster_3221
Dopeav2033217m,cluster_509
Dopeav2090653m,cluster_9601
Dopeav2019107m,cluster_24188
Dopeav2108424m,cluster_10652
Dopeav2129159m,cluster_12378
Dopeav2031580m,cluster_14778
Dopeav2006650m,cluster_649
Dopeav2065136m,cluster_8948
Dopeav2002203m,cluster_871
Dopeav2090289m,cluster_10794
Dopeav2009881m,cluster_24153
Dopeav2123216m,cluster_5789
Dopeav2036558m,cluster_25998
Dopeav2033086m,cluster_8816
Dopeav2017052m,cluster_20867
Dopeav2093033m,cluster_23569
Dopeav2123145m,cluster_6541
Dopeav2016141m,cluster_15452
Dopeav2020848m,cluster_5855
Dopeav2006830m,cluster_1050
Dopeav2060594m,cluster_1079
Dopeav2081064m,cluster_1188
Dopeav2010816m,cluster_5377
Dopeav2080099m,cluster_14315
Dopeav2020025m,cluster_20073
Dopeav2062387m,cluster_5930
Dopeav2065291m,cluster_22450
Dopeav2097384m,cluster_3413
Dopeav2023217m,cluster_2942
Dopeav2028362m,cluster_9040
Dopeav2026042m,cluster_2838
Dopeav2079914m,cluster_13846
Dopeav2114400m,cluster_6999
Dopeav2136474m,cluster_4918
Dopeav2084743m,cluster_28924
Dopeav2063914m,cluster_26982
Dopeav2030058m,cluster_6005
Dopeav2002307m,cluster_6030
Dopeav2127234m,cluster_12026
Dopeav2137944m,cluster_5301
Dopeav2098681m,cluster_11065
Dopeav2071091m,cluster_9747
Dopeav2135781m,cluster_27819
Dopeav2114284m,cluster_1167
Dopeav2070317m,cluster_16193
Dopeav2082412m,cluster_21398
Dopeav2045707m,cluster_22536
Dopeav2020542m,cluster_9798
Dopeav2012543m,cluster_3562
Dopeav2115922m,cluster_2396
Dopeav2114403m,cluster_525
Dopeav2089095m,cluster_1002
Dopeav2131189m,cluster_7086
Dopeav2036697m,cluster_13632
Dopeav2105779m,cluster_13131
Dopeav2036305m,cluster_4799
Dopeav2007997m,cluster_418
Dopeav2061363m,cluster_11763
Dopeav2069536m,cluster_13619
